ID,Police R... ,LGA,March,April,May,June Mar-Jun...,
1,1 Northwest metro,Banyule,0,30,14,0,44
2,,Brimbank,2,172,13,0,187
3,,Darebin,0,90,32,3,125
4,,Hobsons…,0,53,23,0,76
5,,Hume,0,119,40,0,159
6,,Maribyrn…,1,87,3,0,91
7,,Melbourne,1,466,193,1,661
8,,Melton,2,123,20,0,145
9,,Moonee,3,11,6,0,20
10,,Moreland,0,38,6,0,44
11,,Nillumbik,0,7,3,0,10
12,,Whittlesea,0,64,20,0,84
13,,Wyndham,5,156,42,5,208
14,,Yarra,1,270,42,1,314
15,,Total,15,1686,457,10,2168
16,2 Eastern ,Alpine,0,4,10,0,14
17,,Bass Co,0,10,8,0,18
18,,Baw Baw,1,77,13,0,91
19,,Benalla,0,6,1,0,7
20,,Boroond…,0,49,6,0,55
21,,East Gip,0,71,8,0,79
22,,Greater,0,44,16,0,60
23,,Indigo,0,4,2,0,6
24,,Knox,0,57,7,0,64
25,,Latrobe,0,108,12,0,120
26,,Manningham,0,12,6,0,18
27,,Mansfield,0,3,3,0,6
28,,Maroondah,0,28,6,0,34
29,,Mitchell,1,50,12,0,63
30,,Moira,0,31,8,0,39
31,,Monash,0,62,25,3,90
32,,Murrindindi,0,15,5,0,20
33,,South Gippsland,0,19,6,0,25
34,,Strathbogie,0,2,1,0,3
35,,Wangaratta,0,34,1,0,35
36,,Wellington,0,46,8,0,54
37,,Whitehorse,0,54,25,5,84
38,,Wodonga,0,68,8,0,76
39,,Yarra Ranges,0,68,21,0,89
40,,Total,2,922,218,8,1150
41,3 Southern Metro ,Bayside,0,24,14,1,39
42,,Cardinia,0,77,20,0,97
43,,Casey,1,206,59,0,266
44,,Frankston,3,255,48,0,306
45,,Glen Eira,0,63,14,0,77
46,,Greater Dandenong,1,252,89,1,343
47,,Kingston,0,79,34,0,113
48,,Mornington Peninsula,0,196,15,0,211
49,,Port Phillip,0,96,20,0,116
50,,Stonnington,0,63,20,1,84
51,,Total,5,1311,333,3,1652
52,4 western,Ararat,3,12,3,0,18
53,,Ballarat,0,53,24,1,78
54,,Campaspe,0,25,13,0,38
55,,Central Goldfields,0,15,0,0,15
56,,Colac-Otway,0,51,35,0,86
57,,Corangamite,0,27,44,0,71
58,,Gannawarra,0,11,17,0,28
59,,Glenelg,0,9,6,0,15
60,,Golden Plains,0,7,0,0,7
61,,Greater  Bendigo,0,81,28,0,109
62,,Greater Geelong,0,180,23,9,212
63,,Hepburn,0,29,2,0,31
64,,Horsham,0,32,4,0,36
65,,Loddon,0,1,5,0,6
66,,Macedon ranges,0,27,9,0,36
67,,Mildura,0,71,4,0,75
68,,Moorabool,0,30,8,0,38
69,,Mount Alexander,0,11,4,0,15
70,,Moyne,0,2,5,0,7
71,,Northern Grampians,0,25,6,0,31
72,,Pyrenees,0,2,0,0,2
73,,Southern Grampians,0,22,12,0,34
74,,Surf coast,0,28,2,0,30
75,,Swan hill,0,23,4,0,27
76,,Warrnambool,0,16,7,0,23
77,,West Wimmera,0,2,1,0,3
78,,Yarriambiack,0,13,0,0,13
79,,Total,3,805,266,10,1084
80,Grand Total 3,,25,4726,1274,31,6056