Year,Year ending,Offence Division,Offence Subdivision,Family Incident Flag,Incidents Recorded,"Rate per 100,000 population"
2021,March,A Crimes against the person,A10 Homicide and related offences,Family incident related,24,0.4
2021,March,A Crimes against the person,A10 Homicide and related offences,Not family incident related,151,2.3
2021,March,A Crimes against the person,A20 Assault and related offences,Family incident related,"21,917",327.4
2021,March,A Crimes against the person,A20 Assault and related offences,Not family incident related,"19,314",288.5
2021,March,A Crimes against the person,A30 Sexual offences,Family incident related,"3,196",47.7
2021,March,A Crimes against the person,A30 Sexual offences,Not family incident related,"5,286",79.0
2021,March,A Crimes against the person,A40 Abduction and related offences,Family incident related,256,3.8
2021,March,A Crimes against the person,A40 Abduction and related offences,Not family incident related,182,2.7
2021,March,A Crimes against the person,A50 Robbery,Family incident related,35,0.5
2021,March,A Crimes against the person,A50 Robbery,Not family incident related,"1,953",29.2
2021,March,A Crimes against the person,A60 Blackmail and extortion,Family incident related,22,0.3
2021,March,A Crimes against the person,A60 Blackmail and extortion,Not family incident related,141,2.1
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family incident related,"4,523",67.6
2021,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not family incident related,"3,807",56.9
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family incident related,696,10.4
2021,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not family incident related,"3,483",52.0
2021,March,B Property and deception offences,B10 Arson,Family incident related,69,1.0
2021,March,B Property and deception offences,B10 Arson,Not family incident related,"1,844",27.5
2021,March,B Property and deception offences,B20 Property damage,Family incident related,"5,588",83.5
2021,March,B Property and deception offences,B20 Property damage,Not family incident related,"26,022",388.7
2021,March,B Property and deception offences,B30 Burglary/Break and enter,Family incident related,314,4.7
2021,March,B Property and deception offences,B30 Burglary/Break and enter,Not family incident related,"28,155",420.6
2021,March,B Property and deception offences,B40 Theft,Family incident related,428,6.4
2021,March,B Property and deception offences,B40 Theft,Not family incident related,"110,608","1,652.2"
2021,March,B Property and deception offences,B50 Deception,Family incident related,269,4.0
2021,March,B Property and deception offences,B50 Deception,Not family incident related,"20,944",312.8
2021,March,B Property and deception offences,B60 Bribery,Not family incident related,3,0.0
2021,March,C Drug offences,C10 Drug dealing and trafficking,Family incident related,88,1.3
2021,March,C Drug offences,C10 Drug dealing and trafficking,Not family incident related,"3,392",50.7
2021,March,C Drug offences,C20 Cultivate or manufacture drugs,Family incident related,61,0.9
2021,March,C Drug offences,C20 Cultivate or manufacture drugs,Not family incident related,"1,600",23.9
2021,March,C Drug offences,C30 Drug use and possession,Family incident related,306,4.6
2021,March,C Drug offences,C30 Drug use and possession,Not family incident related,"13,001",194.2
2021,March,C Drug offences,C90 Other drug offences,Family incident related,9,0.1
2021,March,C Drug offences,C90 Other drug offences,Not family incident related,29,0.4
2021,March,D Public order and security offences,D10 Weapons and explosives offences,Family incident related,511,7.6
2021,March,D Public order and security offences,D10 Weapons and explosives offences,Not family incident related,"9,041",135.0
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,Family incident related,112,1.7
2021,March,D Public order and security offences,D20 Disorderly and offensive conduct,Not family incident related,"6,967",104.1
2021,March,D Public order and security offences,D30 Public nuisance offences,Family incident related,169,2.5
2021,March,D Public order and security offences,D30 Public nuisance offences,Not family incident related,"1,892",28.3
2021,March,D Public order and security offences,D40 Public security offences,Family incident related,10,0.1
2021,March,D Public order and security offences,D40 Public security offences,Not family incident related,22,0.3
2021,March,E Justice procedures offences,E10 Justice procedures,Family incident related,352,5.3
2021,March,E Justice procedures offences,E10 Justice procedures,Not family incident related,"8,471",126.5
2021,March,E Justice procedures offences,E20 Breaches of orders,Family incident related,"25,408",379.5
2021,March,E Justice procedures offences,E20 Breaches of orders,Not family incident related,"19,172",286.4
2021,March,F Other offences,F10 Regulatory driving offences,Not family incident related,10,0.1
2021,March,F Other offences,F20 Transport regulation offences,Not family incident related,156,2.3
2021,March,F Other offences,F30 Other government regulatory offences,Family incident related,1,0.0
2021,March,F Other offences,F30 Other government regulatory offences,Not family incident related,173,2.6
2021,March,F Other offences,F90 Miscellaneous offences,Family incident related,38,0.6
2021,March,F Other offences,F90 Miscellaneous offences,Not family incident related,"37,572",561.2
2020,March,A Crimes against the person,A10 Homicide and related offences,Family incident related,42,0.6
2020,March,A Crimes against the person,A10 Homicide and related offences,Not family incident related,150,2.2
2020,March,A Crimes against the person,A20 Assault and related offences,Family incident related,"21,791",325.4
2020,March,A Crimes against the person,A20 Assault and related offences,Not family incident related,"20,243",302.3
2020,March,A Crimes against the person,A30 Sexual offences,Family incident related,"2,934",43.8
2020,March,A Crimes against the person,A30 Sexual offences,Not family incident related,"5,301",79.2
2020,March,A Crimes against the person,A40 Abduction and related offences,Family incident related,235,3.5
2020,March,A Crimes against the person,A40 Abduction and related offences,Not family incident related,209,3.1
2020,March,A Crimes against the person,A50 Robbery,Family incident related,42,0.6
2020,March,A Crimes against the person,A50 Robbery,Not family incident related,"3,151",47.1
2020,March,A Crimes against the person,A60 Blackmail and extortion,Family incident related,17,0.3
2020,March,A Crimes against the person,A60 Blackmail and extortion,Not family incident related,142,2.1
2020,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family incident related,"4,049",60.5
2020,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not family incident related,"3,285",49.1
2020,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family incident related,664,9.9
2020,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not family incident related,"3,098",46.3
2020,March,B Property and deception offences,B10 Arson,Family incident related,80,1.2
2020,March,B Property and deception offences,B10 Arson,Not family incident related,"2,473",36.9
2020,March,B Property and deception offences,B20 Property damage,Family incident related,"5,500",82.1
2020,March,B Property and deception offences,B20 Property damage,Not family incident related,"29,793",444.9
2020,March,B Property and deception offences,B30 Burglary/Break and enter,Family incident related,314,4.7
2020,March,B Property and deception offences,B30 Burglary/Break and enter,Not family incident related,"40,198",600.3
2020,March,B Property and deception offences,B40 Theft,Family incident related,452,6.7
2020,March,B Property and deception offences,B40 Theft,Not family incident related,"152,225","2,273.1"
2020,March,B Property and deception offences,B50 Deception,Family incident related,229,3.4
2020,March,B Property and deception offences,B50 Deception,Not family incident related,"22,235",332.0
2020,March,B Property and deception offences,B60 Bribery,Not family incident related,2,0.0
2020,March,C Drug offences,C10 Drug dealing and trafficking,Family incident related,64,1.0
2020,March,C Drug offences,C10 Drug dealing and trafficking,Not family incident related,"3,071",45.9
2020,March,C Drug offences,C20 Cultivate or manufacture drugs,Family incident related,47,0.7
2020,March,C Drug offences,C20 Cultivate or manufacture drugs,Not family incident related,"1,055",15.8
2020,March,C Drug offences,C30 Drug use and possession,Family incident related,288,4.3
2020,March,C Drug offences,C30 Drug use and possession,Not family incident related,"12,027",179.6
2020,March,C Drug offences,C90 Other drug offences,Family incident related,4,0.1
2020,March,C Drug offences,C90 Other drug offences,Not family incident related,33,0.5
2020,March,D Public order and security offences,D10 Weapons and explosives offences,Family incident related,459,6.9
2020,March,D Public order and security offences,D10 Weapons and explosives offences,Not family incident related,"8,912",133.1
2020,March,D Public order and security offences,D20 Disorderly and offensive conduct,Family incident related,108,1.6
2020,March,D Public order and security offences,D20 Disorderly and offensive conduct,Not family incident related,"8,821",131.7
2020,March,D Public order and security offences,D30 Public nuisance offences,Family incident related,141,2.1
2020,March,D Public order and security offences,D30 Public nuisance offences,Not family incident related,"1,872",28.0
2020,March,D Public order and security offences,D40 Public security offences,Family incident related,3,0.0
2020,March,D Public order and security offences,D40 Public security offences,Not family incident related,32,0.5
2020,March,E Justice procedures offences,E10 Justice procedures,Family incident related,360,5.4
2020,March,E Justice procedures offences,E10 Justice procedures,Not family incident related,"7,524",112.4
2020,March,E Justice procedures offences,E20 Breaches of orders,Family incident related,"22,837",341.0
2020,March,E Justice procedures offences,E20 Breaches of orders,Not family incident related,"21,213",316.8
2020,March,F Other offences,F10 Regulatory driving offences,Not family incident related,12,0.2
2020,March,F Other offences,F20 Transport regulation offences,Family incident related,1,0.0
2020,March,F Other offences,F20 Transport regulation offences,Not family incident related,220,3.3
2020,March,F Other offences,F30 Other government regulatory offences,Family incident related,3,0.0
2020,March,F Other offences,F30 Other government regulatory offences,Not family incident related,187,2.8
2020,March,F Other offences,F90 Miscellaneous offences,Family incident related,32,0.5
2020,March,F Other offences,F90 Miscellaneous offences,Not family incident related,243,3.6
2019,March,A Crimes against the person,A10 Homicide and related offences,Family incident related,21,0.3
2019,March,A Crimes against the person,A10 Homicide and related offences,Not family incident related,144,2.2
2019,March,A Crimes against the person,A20 Assault and related offences,Family incident related,"20,339",308.3
2019,March,A Crimes against the person,A20 Assault and related offences,Not family incident related,"20,227",306.6
2019,March,A Crimes against the person,A30 Sexual offences,Family incident related,"2,945",44.6
2019,March,A Crimes against the person,A30 Sexual offences,Not family incident related,"5,474",83.0
2019,March,A Crimes against the person,A40 Abduction and related offences,Family incident related,249,3.8
2019,March,A Crimes against the person,A40 Abduction and related offences,Not family incident related,189,2.9
2019,March,A Crimes against the person,A50 Robbery,Family incident related,33,0.5
2019,March,A Crimes against the person,A50 Robbery,Not family incident related,"2,585",39.2
2019,March,A Crimes against the person,A60 Blackmail and extortion,Family incident related,20,0.3
2019,March,A Crimes against the person,A60 Blackmail and extortion,Not family incident related,159,2.4
2019,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family incident related,"3,849",58.3
2019,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not family incident related,"3,338",50.6
2019,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family incident related,576,8.7
2019,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not family incident related,"3,500",53.1
2019,March,B Property and deception offences,B10 Arson,Family incident related,65,1.0
2019,March,B Property and deception offences,B10 Arson,Not family incident related,"2,929",44.4
2019,March,B Property and deception offences,B20 Property damage,Family incident related,"5,290",80.2
2019,March,B Property and deception offences,B20 Property damage,Not family incident related,"28,431",431.0
2019,March,B Property and deception offences,B30 Burglary/Break and enter,Family incident related,263,4.0
2019,March,B Property and deception offences,B30 Burglary/Break and enter,Not family incident related,"36,423",552.1
2019,March,B Property and deception offences,B40 Theft,Family incident related,373,5.7
2019,March,B Property and deception offences,B40 Theft,Not family incident related,"135,163","2,048.9"
2019,March,B Property and deception offences,B50 Deception,Family incident related,194,2.9
2019,March,B Property and deception offences,B50 Deception,Not family incident related,"22,360",338.9
2019,March,B Property and deception offences,B60 Bribery,Not family incident related,4,0.1
2019,March,C Drug offences,C10 Drug dealing and trafficking,Family incident related,64,1.0
2019,March,C Drug offences,C10 Drug dealing and trafficking,Not family incident related,"2,973",45.1
2019,March,C Drug offences,C20 Cultivate or manufacture drugs,Family incident related,52,0.8
2019,March,C Drug offences,C20 Cultivate or manufacture drugs,Not family incident related,"1,047",15.9
2019,March,C Drug offences,C30 Drug use and possession,Family incident related,289,4.4
2019,March,C Drug offences,C30 Drug use and possession,Not family incident related,"11,726",177.8
2019,March,C Drug offences,C90 Other drug offences,Family incident related,2,0.0
